fossil_id,description,object_name,period,taxonomy,url,local_path,augmented
6728,Fossilised shell fragments of the Silurian brachiopod Strophonella euglypha and bivalve Pterinea lineatula found at Bringewood.,Brachiopod; BIVALVE,Silurian Period,Strophonella euglypha; Pterinea lineatula,https://data.nhm.ac.uk/media/ludlow:G.01627.jpg,..\Data\images_augmented\6728_Silurian_Period_Brachiopod;_BIVALVE.jpg,False
7209,"Fossilised remains of a Devonian lung fish, Dipterus valenciennesi, showing a series of overlapping scales. Found at Caithness.",Fish,Devonian Period,Dipterus valenciennesi,https://data.nhm.ac.uk/media/ludlow:G.06104.jpg,..\Data\images_augmented\7209_Devonian_Period_Fish.jpg,False
6762,"Fossilised remains of phragmacone of the Silurian cephalopod Orthoceras sp. found at Linney, Ludlow.",Cephalopod,Silurian Period,Orthoceras sp.,https://data.nhm.ac.uk/media/ludlow:G.02153.jpg,..\Data\images_augmented\6762_Silurian_Period_Cephalopod.jpg,False
6719,Fossilised fragments of the Ordovician cricoconarid Tentaculites anglicus. Found at Bromfield (washed downstream to Bromfield from Ordovician above Craven Arms),Cricoconarid,Ordovician Period,Tentaculites anglicus,https://data.nhm.ac.uk/media/ludlow:G.01386.jpg,..\Data\images_augmented\6719_Ordovician_Period_Cricoconarid.jpg,False
6716,Fossilised remains of the Ordovician brachiopod Sowerbyella sericea. Internal mould of single valves as well as external shell fragments.,Brachiopod,Ordovician Period,Sowerbyella sericea,https://data.nhm.ac.uk/media/ludlow:G.01134.jpg,..\Data\images_augmented\6716_Ordovician_Period_Brachiopod.jpg,False
6826,"Fossilised remains of an Incomplete cephalon of the Silurian trilobite Dalmanites vulgaris, showing pronounced eyes. Found at Upper Millichope",Trilobite,Silurian Period,Dalmanites sp.,https://data.nhm.ac.uk/media/ludlow:G.02966.jpg,..\Data\images_augmented\6826_Silurian_Period_Trilobite.jpg,False
7213,"Fragmentary fossilised remains, including scales, of the Devonian fish, Dipterus valenciennesi found at Acanarras Quarry, Spittal",Fish,Devonian Period,Dipterus valenciennesi,https://data.nhm.ac.uk/media/ludlow:G.06134.jpg,..\Data\images_augmented\7213_Devonian_Period_Fish.jpg,False
6787,"Fossilised remains of the Ordovician trilobite Ogyginus intermedius found at Hillside,  Llandridod Wells",Trilobite,Ordovician Period,Ogyginus intermedius,https://data.nhm.ac.uk/media/ludlow:G.02415.jpg,..\Data\images_augmented\6787_Ordovician_Period_Trilobite.jpg,False
6739,"Fossilised shell fragment of the Silurian gastropod, Cyclonema octavia found at Norton Lane Quarry, Craven Arms, Shropshire.",Gastropod,Silurian Period,Cyclonema octavia,https://data.nhm.ac.uk/media/ludlow:G.01954.jpg,..\Data\images_augmented\6739_Silurian_Period_Gastropod.jpg,False
6837,"Fossilised remains of cephalon of the Silurian trilobite, Dalmanites myops. Showing well preserved crescentic eyes and glabella. Found at Upper Millichope, Shropshire.",Trilobite,Silurian Period,Dalmanites myops,https://data.nhm.ac.uk/media/ludlow:G.03119.jpg,..\Data\images_augmented\6837_Silurian_Period_Trilobite.jpg,False
7217,Fossilised remains of fish Osteolepis sp. an extinct genus of lobe-finned fish from the Devonian period. It lived in the Lake Orcadie of northern Scotland. It was a rhipidistianand and had a number of features in common with tetrapods.,Fish,Devonian Period,Osteolepis sp.,https://data.nhm.ac.uk/media/ludlow:G.06191.jpg,..\Data\images_augmented\7217_Devonian_Period_Fish.jpg,False
6809,"Fossilised remains of the Ordovician trilobite Ogyginus corndensis found at Upper Gilwern, Howey",Trilobite,Ordovician Period,Ogyginus corndensis,https://data.nhm.ac.uk/media/ludlow:G.02661.jpg,..\Data\images_augmented\6809_Ordovician_Period_Trilobite.jpg,False
6748,"Fossilised shell remains of the Silurian bivalve Fuchsella amygdalina found at Linney, Ludlow.",BIVALVE,Silurian Period,Fuchsella amygdalina,https://data.nhm.ac.uk/media/ludlow:G.02050.jpg,..\Data\images_augmented\6748_Silurian_Period_BIVALVE.jpg,False
6750,Fossilised remains of phragmocone of the Silurian cephalopod Orthoceras ibex cephalopod  found at Whitcliffe Ludlow.,Cephalopod,Silurian Period,Orthoceras ibex,https://data.nhm.ac.uk/media/ludlow:G.02052.001.jpg,..\Data\images_augmented\6750_Silurian_Period_Cephalopod.jpg,False
6845,"Fossilised remains of segment of phragmacone of the Silurian cephalopod, Leurocycloceras whitcliffense. Found in Wassall Quarry, Leintwardine.",Cephalopod,Silurian Period,Leurocycloceras whitcliffense,https://data.nhm.ac.uk/media/ludlow:G.03163.002.jpg,..\Data\images_augmented\6845_Silurian_Period_Cephalopod.jpg,False
7025,"Fossilised fragments of Silurian gastropod Loxonema sinuosa and trilobite Dalmanites myops, found at Upper Millichope",Gastropod; Trilobite,Silurian Period,Loxonema sinuosa; Cyclonema sp.; Dalmanites myops,https://data.nhm.ac.uk/media/ludlow:G.03995a.jpg,..\Data\images_augmented\7025_Silurian_Period_Gastropod;_Trilobite.jpg,False
6839,Fossilised remains of partial phragmocone of the Silurian orthocone cephalopod Orthoceras nicholianum,Cephalopod,Silurian Period,Orthoceras nicholianum,https://data.nhm.ac.uk/media/ludlow:G.03135.jpg,..\Data\images_augmented\6839_Silurian_Period_Cephalopod.jpg,False
6782,"Fossilised remains of fragment of the phragmacone of the Silurian orthocone cephalopod, Orthoceras ludense.",Cephalopod,Silurian Period,Orthoceras ludense,https://data.nhm.ac.uk/media/ludlow:G.02274a.jpg,..\Data\images_augmented\6782_Silurian_Period_Cephalopod.jpg,False
6752,"Fossilised remains of phragmocone from the Silurian cephalopod Orthoceras ibex, showing septa. Found at Bringewood.",Cephalopod,Silurian Period,Orthoceras ibex,https://data.nhm.ac.uk/media/ludlow:G.02055.jpg,..\Data\images_augmented\6752_Silurian_Period_Cephalopod.jpg,False
6850,"Fossilised remains of fragment of the phragmocone of the Silurian cephalopod, Orthoceras perversum. Mounted. Found at Dinham Bridge",Cephalopod,Silurian Period,Orthoceras perversum,https://data.nhm.ac.uk/media/ludlow:G.03192a.jpg,..\Data\images_augmented\6850_Silurian_Period_Cephalopod.jpg,False
6862,"Fossilised remains of the septum of the Silurian cephalopod, Leurocycloceras whitcliffense. Position of the hyponomic foramen visible on the septal surface.",Cephalopod,Silurian Period,Leurocycloceras whitcliffense,https://data.nhm.ac.uk/media/ludlow:G.03258.jpg,..\Data\images_augmented\6862_Silurian_Period_Cephalopod.jpg,False
6786,"Fossilised remains, including pygidium and part of thorax, of the Ordovician trilobite Ogyginus corndensis",Trilobite,Ordovician Period,Ogyginus corndensis,https://data.nhm.ac.uk/media/ludlow:G.02394.jpg,..\Data\images_augmented\6786_Ordovician_Period_Trilobite.jpg,False
6756,Fossilised remains of phragmocone of the Silurian cephalopod Orthoceras perversum found at Linney below Ludlow Castle.,Cephalopod,Silurian Period,Orthoceras perversum,https://data.nhm.ac.uk/media/ludlow:G.02104.jpg,..\Data\images_augmented\6756_Silurian_Period_Cephalopod.jpg,False
6857,"Fossilised remains of fragment of the phragmocone of the Silurian cephalopod, Systrophoceras rapax. Oval whorl section and pronounced radial ribbing. Mounted on card.",Cephalopod,Silurian Period,Systrophoceras rapax,https://data.nhm.ac.uk/media/ludlow:G.03244.jpg,..\Data\images_augmented\6857_Silurian_Period_Cephalopod.jpg,False
7296,"Fossilised remains of fish scales of Palaeoniscum freieslebenensis in marl slate. Found at Quarington Quarry, Durham.",Fish,Permian Period,Palaeoniscum freieslebenensis,https://data.nhm.ac.uk/media/ludlow:G.06750a.jpg,..\Data\images_augmented\7296_Permian_Period_Fish.jpg,False
6897,"A fossilised fragment of Ludlow bone bed with a pinkish colour. Contains two sharp boundaries, one with a beige micrite and the other with a laminated pale grey siltstone. Towards the boundaries the bone bed becomes more yellow. Found at Ludford Lane",Ludlow Bone Bed,Silurian Period,,https://data.nhm.ac.uk/media/ludlow:G.03415.jpg,..\Data\images_augmented\6897_Silurian_Period_Ludlow_Bone_Bed.jpg,False
6834,"Fossilised remains of the Ordovician trilobite Trinucleus fimbriatus showing the cephalon, thorax and pygidium, found at Llanfawr Quarry, Llandrindod Wells.",Trilobite,Ordovician Period,Trinucleus fimbriatus,https://data.nhm.ac.uk/media/ludlow:G.03104.001.jpg,..\Data\images_augmented\6834_Ordovician_Period_Trilobite.jpg,False
6801,"Fossilised remains of the thorax and pygidium and partial cephalon of the Ordovician trilobite Trinucleus fimbriatus, found at Llanfawr quarry, Llandrindod Wells",Trilobite,Ordovician Period,Trinucleus fimbriatus,https://data.nhm.ac.uk/media/ludlow:G.02615.002.jpg,..\Data\images_augmented\6801_Ordovician_Period_Trilobite.jpg,False
6652,"Fossilised remains of Ordovician brachiopod, Strophomena grandis",Brachiopod,Ordovician Period,Strophomena grandis,https://data.nhm.ac.uk/media/ludlow:G.00093.jpg,..\Data\images_augmented\6652_Ordovician_Period_Brachiopod.jpg,False
6835,"Fossilised remains of the Ordovician trilobite Trinucleus fimbriatus, found at Llanfawr Quarry, Llandrindod Wells.",Trilobite,Ordovician Period,Trinucleus fimbriatus,https://data.nhm.ac.uk/media/ludlow:G.03104.002.jpg,..\Data\images_augmented\6835_Ordovician_Period_Trilobite.jpg,False
6807,"Fossilised remains of an almost complete individual of the Ordovician trilobite Ogyginus corndensis found at Upper Gilwern, Llandrindod Wells",Trilobite,Ordovician Period,Ogyginus corndensis,https://data.nhm.ac.uk/media/ludlow:G.02638.jpg,..\Data\images_augmented\6807_Ordovician_Period_Trilobite.jpg,False
6929,Fossilised portion of the rib of a type of elephant from the Siwalik Hills of India.,Elephant; Rib,Cenozoic Era,Elephas; Elephantidae,https://data.nhm.ac.uk/media/ludlow:G.03568a.jpg,..\Data\images_augmented\6929_Cenozoic_Era_Elephant;_Rib.jpg,False
6671,"Fossilised complete shell of the Silurian orthide brachiopod, Dalejina hybrida. The shell is symmetrical and equivalve and possesses fine radial ribbing. Found at Buildwas, Shropshire. Mounted on card with G.00171-00173",Brachiopod,Silurian Period,Dalejina hybrida,https://data.nhm.ac.uk/media/ludlow:G.00174.jpg,..\Data\images_augmented\6671_Silurian_Period_Brachiopod.jpg,False
6918,"Fossilised remains of vertebra of an extinct species of crocodile. Found in the Siwalik Hills, India",Crocodile; Vertebra,Cenozoic Era,Crocodylidae,https://data.nhm.ac.uk/media/ludlow:G.03555.jpg,..\Data\images_augmented\6918_Cenozoic_Era_Crocodile;_Vertebra.jpg,False
6836,"Fossilised remains of the Ordovician trilobite Ampyx sp. found at Hillside, Llandrindod Wells.",Trilobite,Ordovician Period,Ampyx sp.,https://data.nhm.ac.uk/media/ludlow:G.03107.jpg,..\Data\images_augmented\6836_Ordovician_Period_Trilobite.jpg,False
6844,"Fossilised segment of phragmacone of the Silurian cephalopod, Leurocycloceras whitcliffense. Found in Wassall Quarry, Leintwardine.",Cephalopod,Silurian Period,Leurocycloceras whitcliffense,https://data.nhm.ac.uk/media/ludlow:G.03163.001.jpg,..\Data\images_augmented\6844_Silurian_Period_Cephalopod.jpg,False
6930,Fossilised piece of the lower jaw and a single tooth of an extinct type of horse from the Siwalik Hills of India.,Horse; Tooth,Cenozoic Era,Equus sp.,https://data.nhm.ac.uk/media/ludlow:G.03569a.jpg,..\Data\images_augmented\6930_Cenozoic_Era_Horse;_Tooth.jpg,False
6675,"Fossilised remains of phragmacone of the Silurian cephalopod, Orthoceras ibex, found at Mocktree.",Cephalopod,Silurian Period,Orthoceras ibex,https://data.nhm.ac.uk/media/ludlow:G.00185.jpg,..\Data\images_augmented\6675_Silurian_Period_Cephalopod.jpg,False
6942,"Fossilised remains of a part of the lower jaw, including teeth, of an extinct type of antelope. From the Siwalik Hills of India.",Antelope; Jaw,Cenozoic Era,Bovidae,https://data.nhm.ac.uk/media/ludlow:G.03587b.jpg,..\Data\images_augmented\6942_Cenozoic_Era_Antelope;_Jaw.jpg,False
6853,"Fossilised remains of a large sub-spherical septarian nodule, displaying polygonal cracks, which have been infilled with calcite.The nodule contains fragments of the phragmocone of the Silurian orthocone nautiloid, Orthoceras sp.  These internal moulds display clearly defined chambers, which have been partially infilled with mineral material. Found at Maryknoll.",Cephalopod,Silurian Period,Orthoceras sp.,https://data.nhm.ac.uk/media/ludlow:G.03225.jpg,..\Data\images_augmented\6853_Silurian_Period_Cephalopod.jpg,False
6921,"Fossilised fragment of a rib bone from an extinct species of deer. Found in the Siwalik Hills, India.",Deer; Rib,Cenozoic Era,Cervidae,https://data.nhm.ac.uk/media/ludlow:G.03559.jpg,..\Data\images_augmented\6921_Cenozoic_Era_Deer;_Rib.jpg,False
6944,Fossilised piece of the lower jaw of an extinct giraffid. Collected from the Siwalik Hills of India.,Antelope; Jaw,Cenozoic Era,Bovidae,https://data.nhm.ac.uk/media/ludlow:G.03589a.jpg,..\Data\images_augmented\6944_Cenozoic_Era_Antelope;_Jaw.jpg,False
6706,Fossilised shell remains of the Silurian brachiopod Dolerorthis rustica.,Brachiopod,Silurian Period,Dolerorthis rustica,https://data.nhm.ac.uk/media/ludlow:G.00496.jpg,..\Data\images_augmented\6706_Silurian_Period_Brachiopod.jpg,False
6951,Fossilised remains of an incomplete tooth of a Hippopotamus from the Siwalik Hills of India.,Hippopotamus; Tooth,Cenozoic Era,Hippopotamus sp.,https://data.nhm.ac.uk/media/ludlow:G.03597b.jpg,..\Data\images_augmented\6951_Cenozoic_Era_Hippopotamus;_Tooth.jpg,False
6868,"Fossilised remains of lower palaeozoic fish Phialaspis symondsi found at Devil's Hole, Morville",Fish,Silurian Period,Phialaspis symondsi,https://data.nhm.ac.uk/media/ludlow:G.03284.jpg,..\Data\images_augmented\6868_Silurian_Period_Fish.jpg,False
6933,Fossilised remains of horse tooth from the Siwalik Hills of India.,Horse; Tooth,Cenozoic Era,Equus sp.,https://data.nhm.ac.uk/media/ludlow:G.03572a.jpg,..\Data\images_augmented\6933_Cenozoic_Era_Horse;_Tooth.jpg,False
6955,Near complete fossilised remains of the head shield of a Pteraspid fish Cyathaspis sp. Found in Morville area.,Fish,Devonian Period,,https://data.nhm.ac.uk/media/ludlow:G.03606.002.jpg,..\Data\images_augmented\6955_Devonian_Period_Fish.jpg,False
6708,"Fossilised remains of the Silurian brachiopod, Microsphaeridiorhynchia nucula",Brachiopod,Silurian Period,Microsphaeridiorhynchia nucula,https://data.nhm.ac.uk/media/ludlow:G.00604.jpg,..\Data\images_augmented\6708_Silurian_Period_Brachiopod.jpg,False
6973,Fossilised fragments of the Silurian graptolite Pristiograptus sp. found at Upper Millichope.,Graptolite,Silurian Period,Pristiograptus sp.,https://data.nhm.ac.uk/media/ludlow:G.03725a.jpg,..\Data\images_augmented\6973_Silurian_Period_Graptolite.jpg,False
6881,"Fossilised remains of the ventral disc from the head shield of the Silurian jawless fish, Phialaspis symondsi. Showing branchial impressions. Found at Devil's Hole, Morville Counterpart to G.03341.",Fish,Silurian Period,Phialaspis symondsi,https://data.nhm.ac.uk/media/ludlow:G.03339.jpg,..\Data\images_augmented\6881_Silurian_Period_Fish.jpg,False
6949,"Fossilised remains of a part of a jaw with teeth belonging to an extinct gharial type crocodile, from the Siwalik Hills of India.",Crocodile; Jaw,Cenozoic Era,Crocodylidae,https://data.nhm.ac.uk/media/ludlow:G.03595a.jpg,..\Data\images_augmented\6949_Cenozoic_Era_Crocodile;_Jaw.jpg,False
6971,Fossilised remains of the Ordovician trilobite Ogygiocarella debuchi found at Meadowtown.,Trilobite,Ordovician Period,Ogygiocarella debuchi,https://data.nhm.ac.uk/media/ludlow:G.03699.jpg,..\Data\images_augmented\6971_Ordovician_Period_Trilobite.jpg,False
6745,"Fossilised remains of the Silurian cephalopod Leurocycloceras whitcliffense showing the septal surface. Found at Whitcliffe, Ludlow.",Cephalopod,Silurian Period,Leurocycloceras whitcliffense,https://data.nhm.ac.uk/media/ludlow:G.01996.jpg,..\Data\images_augmented\6745_Silurian_Period_Cephalopod.jpg,False
6988,"Fossilised remains of part of Silurian eurypterid, Pterygotus punctatus",Eurypterid,Silurian Period,Pterygotus punctatus,https://data.nhm.ac.uk/media/ludlow:G.03806a.jpg,..\Data\images_augmented\6988_Silurian_Period_Eurypterid.jpg,False
6887,Fossilised remains of the Devonian jawless fish Pterapsis leathensis found at Morville.,Agnathan,Devonian Period,Pteraspis,https://data.nhm.ac.uk/media/ludlow:G.03371.jpg,..\Data\images_augmented\6887_Devonian_Period_Agnathan.jpg,False
6985,Fossilised remains of the Silurian conularid Metaconularia aspersa found at Bow Bridge. Likely to be part of original Ludlow Natural History Society.,Conularid,Silurian Period,Metaconularia aspersa,https://data.nhm.ac.uk/media/ludlow:G.03796.jpg,..\Data\images_augmented\6985_Silurian_Period_Conularid.jpg,False
7035,Fossilised remains of numerous cepahlons of the Ordovician trilobite Trinucleus fimbriatus.,Trilobite,Ordovician Period,Trinucleus fimbriatus,https://data.nhm.ac.uk/media/ludlow:G.04072.jpg,..\Data\images_augmented\7035_Ordovician_Period_Trilobite.jpg,False
6759,"Fossilised remains of phragmocone of the Silurian cephalopod Orthoceras bullatum cephalopod, showing septa.",Cephalopod,Silurian Period,Orthoceras bullatum,https://data.nhm.ac.uk/media/ludlow:G.02125.jpg,..\Data\images_augmented\6759_Silurian_Period_Cephalopod.jpg,False
7021,Fossilised remains of the Silurian monoplacophoran Tremanotus sp. found at Upper Millichope.,Monoplacophoran,Silurian Period,Tremanotus sp.,https://data.nhm.ac.uk/media/ludlow:G.03960.jpg,..\Data\images_augmented\7021_Silurian_Period_Monoplacophoran.jpg,False
6898,"Fossilised remains of the Silurian eurypterid Pterygotus sp. found in the Main Channel, Section 2, Devils Hole.",Eurypterid,Silurian Period,Pterygotus sp.,https://data.nhm.ac.uk/media/ludlow:G.03438.002a.jpg,..\Data\images_augmented\6898_Silurian_Period_Eurypterid.jpg,False
7004,Fossilised remains of forelimb of a juvenile Jurassic ichthyosaur. Numerous digit bones and two carpal bones preserved. Found at Lyme Regis.,Ichthyosaur,Jurassic Period,Ichthyosaurus sp.,https://data.nhm.ac.uk/media/ludlow:G.03872.jpg,..\Data\images_augmented\7004_Jurassic_Period_Ichthyosaur.jpg,False
7043,"Fossilised shell remains of a single valve of the Silurian bivalve, Cardiola interupta. Marked radial ribbing and concentric growth lines visible. Counterpart to G.04116.001. Mounted on card. Found at Mary Knoll House, Ludlow.",BIVALVE,Silurian Period,Cardiola interupta,https://data.nhm.ac.uk/media/ludlow:G.04116.002.jpg,..\Data\images_augmented\7043_Silurian_Period_BIVALVE.jpg,False
6785,Fossilised remains of Carboniferous coral Amplexus cotalbides.,CORAL,Carboniferous Period,Amplexus cotalbides,https://data.nhm.ac.uk/media/ludlow:G.02328a.jpg,..\Data\images_augmented\6785_Carboniferous_Period_CORAL.jpg,False
7133,"Fossilised remains of phragmocone of the Silurian cephalopod, Dawsonoceras annulatum, showing septal surfaces. The remains of a compound coral is on the reverse. Found in Much Wenlock district",Cephalopod,Silurian Period,Dawsonoceras annulatum,https://data.nhm.ac.uk/media/ludlow:G.05001a.jpg,..\Data\images_augmented\7133_Silurian_Period_Cephalopod.jpg,False
6922,Fossilised remains of the distal or lower end of the metacarpal bone of a deer from the Siwalik Hills of India.,Deer; Metacarpal,Cenozoic Era,Cervidae,https://data.nhm.ac.uk/media/ludlow:G.03560.jpg,..\Data\images_augmented\6922_Cenozoic_Era_Deer;_Metacarpal.jpg,False
7047,Fossilised shell remains of the Silurian bivalve Goniophora cymbaeformis found at Downton Castle.,BIVALVE,Silurian Period,Goniophora cymbaeformis,https://data.nhm.ac.uk/media/ludlow:G.04154.jpg,..\Data\images_augmented\7047_Silurian_Period_BIVALVE.jpg,False
7057,Fossilised remains of the Devonian heterostracan fish Pteraspis leathensis.,Fish,Devonian Period,Pteraspis leathensis,https://data.nhm.ac.uk/media/ludlow:G.04283.jpg,..\Data\images_augmented\7057_Devonian_Period_Fish.jpg,False
6824,"Fossilised remains of pygidium of the Silurian trilobite, Dalmanites myops, found at Upper Millichope.",Trilobite,Silurian Period,Dalmanites myops,https://data.nhm.ac.uk/media/ludlow:G.02931.jpg,..\Data\images_augmented\6824_Silurian_Period_Trilobite.jpg,False
7156,"Internal mould showing part of the phragmocone of the Silurian orthocone cephalopod, Orthoceras bullatum. With fragments of Orbiculoidea sp. and Spirorbis sp. epizoic fossils.",Cephalopod,Silurian Period,Orthoceras bullatum,https://data.nhm.ac.uk/media/ludlow:G.05387a.jpg,..\Data\images_augmented\7156_Silurian_Period_Cephalopod.jpg,False
7102,"Fossilised shell fragments of the Ordovician brachiopod Sowerbyella sericea found at Pont Derwlwyn, Llanfyllin, Montgomeryshire. Counterpart to G.04740.001",Brachiopod,Ordovician Period,Sowerbyella sericea,https://data.nhm.ac.uk/media/ludlow:G.04740.002.jpg,..\Data\images_augmented\7102_Ordovician_Period_Brachiopod.jpg,False
7068,"Fossilised shell of the Silurian gastropod Loxonema sinuosa found at Upper Millichope, Shropshire.",Gastropod,Silurian Period,Loxonema sinuosa,https://data.nhm.ac.uk/media/ludlow:G.04343.jpg,..\Data\images_augmented\7068_Silurian_Period_Gastropod.jpg,False
6833,"Fossilised remains of cephalon of the Silurian trilobite Dalmanites myops found at Upper Millichope, Shropshire.",Trilobite,Silurian Period,Dalmanites myops,https://data.nhm.ac.uk/media/ludlow:G.03080.jpg,..\Data\images_augmented\6833_Silurian_Period_Trilobite.jpg,False
7162,"Fossilised remains of phragmacone of the Silurian orthocone cephalopod, Polygrammoceras bullatum, showing septal sututres. Found at Mill Street Weir, Ludlow.",Cephalopod,Silurian Period,Polygrammoceras bullatum,https://data.nhm.ac.uk/media/ludlow:G.05408a.jpg,..\Data\images_augmented\7162_Silurian_Period_Cephalopod.jpg,False
6953,"Fossilized remains of the Devonian agnathan Pteraspis leathensis found at Meadowley Hill, Morville",Fish,Devonian Period,Pteraspis leathensis,https://data.nhm.ac.uk/media/ludlow:G.03604.jpg,..\Data\images_augmented\6953_Devonian_Period_Fish.jpg,False
7113,"Fossilised thorax and tail remains of the Silurian trilobite, Calymene nodulosa found at Burrington.",Trilobite,Silurian Period,Calymene nodulosa,https://data.nhm.ac.uk/media/ludlow:G.04881.jpg,..\Data\images_augmented\7113_Silurian_Period_Trilobite.jpg,False
7069,"Fossilised remains of Silurian gastropod, Loxonema sp. Found at Sunnyhill, Mortimer Forest.",Gastropod,Silurian Period,Loxonema sp.,https://data.nhm.ac.uk/media/ludlow:G.04402.001.jpg,..\Data\images_augmented\7069_Silurian_Period_Gastropod.jpg,False
6895,"Fossilised fragment of spine from the Silurian Acanthodian fish Parexus sp. found at Devils Hole, Morville, Shropshire.",Fish,Silurian Period,Parexus sp.,https://data.nhm.ac.uk/media/ludlow:G.03404.002.jpg,..\Data\images_augmented\6895_Silurian_Period_Fish.jpg,False
7197,Fossilised remains of the Ordovician trilobite Ogygiocarella debuchi preserving pygidium and partial thorax. Labelled as Ogygia sp. Found at Hillside.,Trilobite,Ordovician Period,Ogygiocarella debuchi,https://data.nhm.ac.uk/media/ludlow:G.05959.jpg,..\Data\images_augmented\7197_Ordovician_Period_Trilobite.jpg,False
6963,Fossilised remains of the Jurassic ammonite Caloceras sp.,AMMONITE,Jurassic Period,Caloceras sp.,https://data.nhm.ac.uk/media/ludlow:G.03663.jpg,..\Data\images_augmented\6963_Jurassic_Period_AMMONITE.jpg,False
7142,"Septal surface of the Silurian cephalopod, Leurocycloceras whitcliffense, showing the position of the centrally placed septal foramen.",Cephalopod,Silurian Period,Leurocycloceras whitcliffense,https://data.nhm.ac.uk/media/ludlow:G.05181a.jpg,..\Data\images_augmented\7142_Silurian_Period_Cephalopod.jpg,False
7071,"Fossilised fragment of the guard of the Cretaceous belemnite, Belemnitella mucronata. The guard is conical in form and possesses a conical alveolus. Mounted on card with five other specimens.",Belemnite,Cretaceous Period,Belemnitella mucronata,https://data.nhm.ac.uk/media/ludlow:G.04425.002.jpg,..\Data\images_augmented\7071_Cretaceous_Period_Belemnite.jpg,False
6923,"Fossilised remains of the distal or lower end of the metacarpal bone of a deer, from the Siwalik Hills of India.",Deer; Metacarpal,Cenozoic Era,Cervidae,https://data.nhm.ac.uk/media/ludlow:G.03562a.jpg,..\Data\images_augmented\6923_Cenozoic_Era_Deer;_Metacarpal.jpg,False
7626,"Fossilised remains of the ventral rim of a headshield belonging to a Devonian agnathan, Cephalaspis sp.",Agnathan,Devonian Period,Cephalaspis sp.,https://data.nhm.ac.uk/media/ludlow:G.09380.001.jpg,..\Data\images_augmented\7626_Devonian_Period_Agnathan.jpg,False
